OC,B11,B12,B2,B3,B4,B8,bai,bsi,evi,lai,nbr,ndmi,ndvi,ndwi,savi,slope,LST_Day_1km,elevation
0.64,0.1377,0.0815,0.0775,0.0925,0.0813,0.2146,41.23566957,0.5498142,0.297239445,0.492172057,0.44951028,0.21827984,0.45049003,0.39759034,0.251225028,1.3126111,14999.15031,47
0.64,0.1876,0.1506,0.1256,0.1378,0.1292,0.1782,67.45871594,0.8509732,0.121119263,0.178819886,0.08394162,-0.025697088,0.15940146,0.12784815,0.091032963,1.9987394,15002.36807,46
0.64,0.2504,0.1984,0.1256,0.1376,0.1392,0.2592,24.26166723,0.7377622,0.260326274,0.40110866,0.13286713,0.017268445,0.30120483,0.30645162,0.200356195,1.3874948,14993.617,63
0.64,0.3291,0.3228,0.1366,0.1584,0.1692,0.2216,32.35910931,0.90374726,0.108059047,0.176389258,-0.18589275,-0.19520614,0.13408391,0.16631578,0.088235282,1.9115143,14982.49814,63
0.64,0.2397,0.1652,0.1116,0.1166,0.1132,0.1926,56.31582158,0.77808833,0.191824491,0.290229525,0.0765791,-0.108952135,0.2596468,0.2457956,0.147803417,1.8077627,14975.78977,69
0.64,0.2763,0.2195,0.146,0.1522,0.1394,0.2558,25.06893716,0.75510204,0.29181708,0.390229065,0.076372825,-0.0385266,0.29453442,0.2539216,0.195040217,0.9742103,14985.06335,55
0.64,0.3189,0.291,0.1404,0.1628,0.1754,0.221,31.6394011,0.9109375,0.093411992,0.152703433,-0.13671876,-0.18132986,0.11503531,0.15164149,0.076305216,0.7323674,14974.04102,73
0.64,0.1028,0.0545,0.09955,0.1023,0.08205,0.1666,85.57421388,0.6175938,0.231700966,0.327992173,0.5070104,0.23682259,0.34003618,0.23912235,0.169404929,2.24371,14960.27458,58
0.64,0.2208,0.1454,0.1128,0.1264,0.1158,0.234,32.75934687,0.68845546,0.272903579,0.413665688,0.2335266,0.029023746,0.33790737,0.29855716,0.208637321,1.3035465,14960.569,57
0.64,0.2316,0.1623,0.1055,0.1173,0.11015,0.2468,28.57366175,0.6659741,0.305992206,0.474950487,0.20655096,0.031772584,0.38282672,0.35567155,0.239191322,2.4790525,14940.17902,69
0.64,0.2185,0.13785,0.098,0.1086,0.09445,0.23725,31.79815536,0.6193015,0.333972597,0.508664383,0.264996,0.04114097,0.4305095,0.37198207,0.257544795,1.2804546,14943.16831,65
0.64,0.272,0.2031,0.112,0.1316,0.1444,0.2432,28.14237669,0.77862424,0.194549474,0.333574479,0.0898499,-0.05590064,0.25490198,0.2977588,0.166967107,1.9087012,14957.74241,59
0.89,0.14145,0.0741,0.0653,0.0815,0.06705,0.2845,19.4227732,0.39361405,0.454137256,0.759725843,0.5867261,0.33583754,0.6185464,0.5546448,0.383036813,2.1166637,15024.46802,86
0.89,0.2007,0.1317,0.0847,0.1108,0.115,0.2868,19.35612293,0.58948624,0.320152057,0.572455685,0.37060934,0.17661539,0.4275759,0.44265595,0.285761802,2.3082745,15041.09771,59
0.89,0.1895,0.167,0.1074,0.1216,0.1242,0.1512,112.3206873,0.9151477,0.061875504,0.101819869,-0.049654305,-0.112415634,0.0980392,0.10850438,0.052231097,1.0617765,15054.71988,41
0.89,0.19905,0.1519,0.0825,0.09845,0.10095,0.225,36.72973089,0.6708676,0.255889255,0.444391178,0.19395065,0.061195616,0.38057983,0.39125058,0.225286019,1.6592472,15017.81445,98
1.03,0.225,0.1723,0.1286,0.1406,0.1324,0.2272,34.47610011,0.7627034,0.224198262,0.328656938,0.13742179,0.004865121,0.26362625,0.23545407,0.16542577,2.0563457,15002.731,46
0.32,0.1253,0.0635,0.05515,0.0733,0.0559,0.26395,22.96717081,0.36463583,0.438655654,0.749837996,0.6121545,0.35619777,0.65046114,0.5653076,0.380648886,1.4380782,15026.34692,92
0.32,0.1318,0.06905,0.0556,0.07465,0.06485,0.2893,18.58252158,0.37365705,0.444843009,0.78221844,0.6146226,0.37402043,0.633771,0.58977884,0.394163776,1.5685139,15026.40714,90
0.32,0.28485,0.22625,0.098,0.1208,0.1308,0.2316,32.89993144,0.7798405,0.19665992,0.348522964,0.011685069,-0.10310775,0.27814573,0.31441543,0.175324689,1.9960091,15028.84087,64
0.32,0.32455,0.24735,0.1048,0.1269,0.1464,0.23645,30.0412495,0.81386936,0.169413394,0.305385844,-0.022529982,-0.157041,0.2352096,0.30149993,0.152998804,3.154274,15036.84358,51
0.32,0.26305,0.21755,0.0907,0.1142,0.1282,0.2198,37.97764739,0.7905567,0.174976129,0.321132564,0.005144623,-0.089572325,0.2632184,0.31616765,0.162028305,1.7735804,15046.80628,47
0.32,0.2066,0.1722,0.08735,0.1069,0.1115,0.1892,59.43575336,0.78500277,0.16146125,0.285486531,0.047039304,-0.04396159,0.25839707,0.27794665,0.145560128,0.7984733,15039.66054,65
0.32,0.1602,0.0935,0.0838,0.1144,0.1406,0.2708,21.69903565,0.64260226,0.219059161,0.430037976,0.48668677,0.2566125,0.3164803,0.40602285,0.214285714,1.0776576,15038.8233,79
0.32,0.3185,0.2136,0.0965,0.1246,0.1478,0.2818,19.42498898,0.7295115,0.231857987,0.435355614,0.13766655,-0.061136115,0.31191808,0.38681102,0.216222036,1.3126535,15042.37077,48
0.32,0.1715,0.1001,0.082,0.1011,0.1234,0.2382,30.95707068,0.6606563,0.210472264,0.397232565,0.40821755,0.16280204,0.31747785,0.4040672,0.19986071,1.2613721,15042.2215,50
0.32,0.23365,0.1786,0.0909,0.1119,0.1286,0.2234,36.34048547,0.7641791,0.180468291,0.331067938,0.11144278,-0.022426436,0.26931816,0.332538,0.166901401,3.1070786,15048.50606,46
0.32,0.2916,0.2242,0.0909,0.1142,0.1132,0.321,14.64230779,0.6188555,0.394023287,0.672348795,0.17754954,0.0479922,0.4785813,0.4751838,0.333654473,1.4468516,15049.16742,47
0.32,0.1722,0.0942,0.046,0.0727,0.0668,0.2718,21.75734751,0.43989068,0.386034975,0.725298299,0.4852459,0.22432436,0.6054342,0.57793903,0.366682585,1.7718086,14922.66377,52
0.32,0.22905,0.15465,0.1242,0.1299,0.1335,0.19,55.48697046,0.8360656,0.133317615,0.202895297,0.10256781,-0.09318697,0.17465225,0.18787123,0.102914396,1.2294332,14986.09144,50
0.32,0.2777,0.23725,0.1319,0.1552,0.1604,0.24075,27.53400785,0.83190376,0.165479023,0.267895026,0.007322175,-0.071270145,0.20029913,0.21606262,0.133745763,2.8705783,14979.82934,50
0.32,0.2371,0.1886,0.1182,0.135,0.14,0.1958,49.89611185,0.85483867,0.121378239,0.197964718,0.018730495,-0.09540309,0.16617036,0.18379685,0.100143585,2.211179,14983.12897,50
0.32,0.33605,0.3158,0.1448,0.1678,0.1729,0.2506,24.01376963,0.8628178,0.161605667,0.253831702,-0.11511299,-0.14565754,0.18347108,0.19789678,0.12620466,3.8839653,14983.53055,50
0.32,0.27665,0.23445,0.1393,0.1552,0.1512,0.2564,24.27514692,0.7856779,0.235062784,0.348674953,0.04471833,-0.037988972,0.25809616,0.24586974,0.173865129,2.904356,14983.10652,52
0.32,0.2784,0.2612,0.1391,0.1581,0.1542,0.2135,37.73600833,0.87507904,0.135332489,0.204000539,-0.10048455,-0.13193741,0.16127275,0.14908504,0.102512373,2.8549702,14996.09326,57
0.32,0.2524,0.2291,0.128,0.1416,0.1434,0.2042,44.09715534,0.8596815,0.137606382,0.213236142,-0.057465967,-0.10556288,0.1749137,0.1810295,0.107597926,4.363058,14983.08097,52
0.32,0.31215,0.25845,0.1243,0.1411,0.145,0.2137,38.98834821,0.8544954,0.149159763,0.238377869,-0.094779216,-0.18722071,0.19152495,0.2046223,0.12000699,4.2269626,14985.09971,56
0.32,0.2115,0.1484,0.1418,0.147,0.134,0.241,29.48374057,0.7252183,0.272542009,0.365558051,0.23780176,0.065193355,0.2853333,0.24226804,0.18342856,4.248701,14983.31543,59
0.32,0.20985,0.1374,0.09425,0.11275,0.1085,0.2612,24.65866595,0.61690915,0.316719592,0.524313038,0.31058708,0.10901181,0.41303763,0.39697823,0.263366701,2.7187707,14953.53835,51
